num	zipcode	name
254.0	19041	Armuña de Tajuña
450.0	26017	Arnedillo
15017.0	26018	Arnedo
448.0	43018	Arnes
1015.0	32003	Arnoia
2170.0	39006	Arnuero
3024.0	21008	Aroche
82982.0	38006	Arona
117.0	49014	Arquillinos
1698.0	23008	Arquillos
218.0	49015	Arrabalde
804.0	1037	Arraia-Maeztu
18.0	16025	Arrancacepas
1008.0	48009	Arrankudiaga
21760.0	20055	Arrasate/Mondragón
432.0	48914	Arratzu
1031.0	1008	Arratzua-Ubarrundia
45.0	9027	Arraya de Oca
63750.0	35004	Arrecife
471.0	39007	Arredondo
61.0	25031	Arres
4110.0	29020	Arriate
576.0	48010	Arrieta
11954.0	48011	Arrigorriaga
402.0	13021	Arroba de los Montes
1036.0	31036	Arróniz
21369.0	47010	Arroyo de la Encomienda
5596.0	10021	Arroyo de la Luz
23.0	19042	Arroyo de las Fraguas
4054.0	6012	Arroyo de San Serván
2227.0	23905	Arroyo del Ojanco
827.0	10023	Arroyomolinos
34833.0	28015	Arroyomolinos
412.0	10022	Arroyomolinos de la Vera
951.0	21009	Arroyomolinos de León
106.0	31037	Arruazu
568.0	26019	Arrúbal
80.0	25032	Arsèguel
8062.0	7006	Artà
1762.0	31038	Artajona
1979.0	12016	Artana
113.0	31039	Artazu
746.0	48023	Artea
33076.0	15005	Arteixo
1030.0	35005	Artenara
5902.0	8010	Artés
1505.0	25033	Artesa de Lleida
3470.0	25034	Artesa de Segre
82.0	50035	Artieda
720.0	48008	Artzentales
1810.0	1004	Artziniega
38369.0	35006	Arucas
5918.0	15006	Arzúa
1601.0	43019	Ascó
104.0	50036	Asín
221.0	25036	Aspa
231.0	49016	Aspariegos
1637.0	1009	Asparrena
21191.0	3019	Aspe
1557.0	20014	Asteasu
7417.0	20903	Astigarraga
18153.0	39008	Astillero
10392.0	24008	Astorga
1031.0	34017	Astudillo
266.0	49017	Asturianos
183.0	29021	Atajate
285.0	6013	Atalaya
110.0	16026	Atalaya del Cañavate
104.0	37037	Atalaya
97.0	19043	Atanzón
182.0	9029	Atapuerca
548.0	47011	Ataquines
19452.0	18022	Atarfe
1660.0	20015	Ataun
107.0	28016	Atazar
141.0	50037	Atea
1690.0	50038	Ateca
212.0	31040	Atez/Atetz
398.0	19044	Atienza
1372.0	48091	Atxondo
1146.0	46003	Atzeneta d'Albaida
1287.0	12001	Atzeneta del Maestrat
616.0	3001	Atzúbia
655.0	48070	Aulesti
151.0	19045	Auñón
230.0	31058	Auritz/Burguete
786.0	26020	Ausejo
93.0	42028	Ausejo de la Sierra
138.0	9030	Ausines
215.0	34018	Autilla del Pino
133.0	34019	Autillo de Campos
4788.0	26021	Autol
80.0	5017	Aveinte
27.0	5018	Avellaneda
459.0	25037	Avellanes i Santa Linya
100.0	9032	Avellanosa de Muñó
2237.0	8011	Avià
57730.0	5019	Ávila
75877.0	33004	Avilés
2270.0	8012	Avinyó
1676.0	17012	Avinyonet de Puigventós
1706.0	8013	Avinyonet del Penedès
1770.0	32004	Avión
2921.0	1010	Ayala/Aiara
21725.0	21010	Ayamonte
2488.0	31041	Ayegui/Aiegi
1059.0	22039	Ayerbe
1154.0	40024	Ayllón
582.0	2011	Ayna
156.0	12017	Ayódar
273.0	49018	Ayoó de Vidriales
5187.0	46044	Ayora
54.0	34020	Ayuela
3802.0	31042	Azagra
105.0	44031	Azaila
174.0	22040	Azanuy-Alins
160.0	22041	Azara
11617.0	20017	Azkoitia
148.0	22042	Azlor
4664.0	41012	Aznalcázar
6011.0	41013	Aznalcóllar
209.0	26022	Azofra
15154.0	20018	Azpeitia
7636.0	6014	Azuaga
539.0	50039	Azuara
318.0	12018	Azuébar
26.0	31043	Azuelo
35182.0	19046	Azuqueca de Henares
296.0	45017	Azután
936.0	37038	Babilafuente
240.0	4019	Bacares
150146.0	6015	Badajoz
223506.0	8015	Badalona
500.0	26023	Badarán
19.0	44032	Bádenas
13163.0	8904	Badia del Vallès
3112.0	41014	Badolatosa
74.0	50040	Badules
90.0	22043	Baélls
18764.0	14007	Baena
15773.0	23009	Baeza
2167.0	8016	Bagà
271.0	44033	Báguena
15.0	50041	Bagüés
93.0	47012	Bahabón
81.0	9033	Bahabón de Esgueva
60.0	19047	Baides
17377.0	23010	Bailén
273.0	22044	Bailo
12349.0	36003	Baiona
345.0	25039	Baix Pallars
355.0	31044	Bakaiku
2812.0	48012	Bakio
