,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
2337,187.0,24058,Corbillos de los Oteros,42.4077051,-5.4595325,ezs1,ezs17,ezs17b,"(100, 500]",2
2338,1462.0,25078,Corbins,41.6905677,0.6930804,sp2m,sp2mp,sp2mpv,"(1000, 5000]",4
2339,1268.0,17057,Corçà,41.9893624,3.0170799,sp6n,sp6nu,sp6nue,"(1000, 5000]",4
2340,199.0,47055,Corcos,41.809877,-4.6932238,ezkt,ezktv,ezktv5,"(100, 500]",2
2341,1670.0,15028,Corcubión,42.9303638,-9.1987307,ez9k,ez9kn,ez9knx,"(1000, 5000]",4
2342,319515.0,14021,Córdoba,37.8845813,-4.7760138,eysx,eysxe,eysxe2,"(250000, 500000]",9
2343,855.0,6038,Cordobilla de Lácara,39.1481035,-6.4369168,eygq,eygqt,eygqtw,"(500, 1000]",3
2344,109.0,37110,Cordovilla,40.9512623,-5.4070677,ezk0,ezk0u,ezk0uy,"(100, 500]",2
2345,124.0,34063,Cordovilla la Real,42.0793366,-4.2599008,ezkz,ezkzr,ezkzrh,"(100, 500]",2
2346,153.0,26052,Cordovín,42.3848664,-2.8153541,eztc,eztcp,eztcpg,"(100, 500]",2
2347,324.0,19099,Corduente,40.8426955,-1.9783744,ezq8,ezq86,ezq86g,"(100, 500]",2
2348,8336.0,31077,Corella,42.1152097,-1.7893729,ezqx,ezqxx,ezqxx6,"(5000, 10000]",5
2349,286.0,26053,Corera,42.3432001,-2.2193738,ezw2,ezw2v,ezw2vk,"(100, 500]",2
2350,1049.0,49053,Coreses,41.5485022,-5.6208725,ezkh,ezkh2,ezkh25,"(1000, 5000]",4
2351,3429.0,27014,Corgo,42.9428295,-7.4298314,ezds,ezdsq,ezdsqc,"(1000, 5000]",4
2352,12308.0,10067,Coria,39.9831574,-6.5366803,ez57,ez577,ez577q,"(10000, 50000]",6
2353,30714.0,41034,Coria del Río,37.2892112,-6.0535287,eyes,eyesn,eyesnh,"(10000, 50000]",6
2354,1220.0,41035,Coripe,36.971831,-5.4403189,eys4,eys4k,eys4k4,"(1000, 5000]",4
2355,5807.0,15029,Coristanco,43.1570617,-8.7639059,ez9v,ez9v8,ez9v88,"(5000, 10000]",5
2356,310.0,26054,Cornago,42.0657909,-2.093952,ezqx,ezqx2,ezqx23,"(100, 500]",2
2357,89039.0,8073,Cornellà de Llobregat,41.355724,2.0706225,sp37,sp37r,sp37r0,"(50000, 100000]",7
2358,2407.0,17056,Cornellà del Terri,42.0898363,2.8157343,sp6p,sp6p2,sp6p2n,"(1000, 5000]",4
2359,978.0,43049,Cornudella de Montsant,41.2656573,0.9057114,sp2d,sp2du,sp2du8,"(500, 1000]",3
2360,2172.0,6039,Coronada,39.6254607,-2.3133058,ezn3,ezn37,ezn37m,"(1000, 5000]",4
2361,4720.0,41036,Coronil,37.0822613,-5.6330697,eyef,eyefz,eyefzy,"(1000, 5000]",4
2362,764.0,28048,Corpa,40.4235374,-3.2652482,ezjt,ezjtv,ezjtvw,"(500, 1000]",3
2363,36.0,26055,Corporales,42.4324248,-2.9951679,eztc,eztc7,eztc7u,"(0, 100]",1
2364,4827.0,45054,Corral de Almaguer,39.7607947,-3.168367,ezjd,ezjdp,ezjdpy,"(1000, 5000]",4
